feature_name,value,summary_kind
heuristic_role_rank,0.600813,feature_importance
heuristic_role_score,0.133677,feature_importance
energy_fibre_kcal,0.030106,feature_importance
commonality_rank,0.022281,feature_importance
regional_price_span,0.014728,feature_importance
regional_price_high,0.013148,feature_importance
vitamin_c,0.013109,feature_importance
days,0.011728,feature_importance
carbohydrate,0.009255,feature_importance
protein,0.009208,feature_importance
vitamin_c_score,0.008053,feature_importance
default_serving_g,0.007132,feature_importance
protein_density_score,0.006841,feature_importance
target_fiber_g,0.005777,feature_importance
target_protein_g,0.005696,feature_importance
representative_unit_price,0.005115,feature_importance
role=calorie_booster,0.005054,feature_importance
regional_price_low,0.004627,feature_importance
fat,0.004506,feature_importance
target_fat_g,0.004039,feature_importance
iron,0.003933,feature_importance
calcium_score,0.003612,feature_importance
target_calorie_kcal,0.003233,feature_importance
target_carbohydrate_g,0.00319,feature_importance
purchase_unit_size_g,0.003036,feature_importance
calcium,0.003006,feature_importance
meal_style=any,0.002822,feature_importance
target_calcium_mg,0.002758,feature_importance
food_family=fat,0.002359,feature_importance
available_food_count,0.002311,feature_importance
