generic_food_id,ciqual_food_code,weight,is_primary,sort_order
eggs,22000,1.0,true,1
milk,19042,1.0,true,1
greek_yogurt,19860,1.0,true,1
oats,9311,1.0,true,1
rice,9100,1.0,true,1
beans,20525,1.0,true,1
lentils,20504,1.0,true,1
tofu,20904,1.0,true,1
chicken_breast,36017,1.0,true,1
tuna,26039,1.0,true,1
peanut_butter,15202,1.0,true,1
wholemeal_bread,7110,1.0,true,1
bananas,13005,1.0,true,1
spinach,20059,1.0,true,1
broccoli,20057,1.0,true,1
potatoes,4023,1.0,true,1
olive_oil,17270,1.0,true,1
salmon,25996,1.0,true,1
ground_beef,6252,1.0,true,1
turkey,36304,1.0,true,1
rotisserie_chicken,36005,1.0,true,1
chickpeas,20532,1.0,true,1
black_beans,20524,1.0,true,1
edamame,20183,1.0,true,1
shrimp,10007,1.0,true,1
sardines,26040,1.0,true,1
cottage_cheese,19641,1.0,true,1
protein_yogurt,19669,1.0,true,1
ricotta,19585,1.0,true,1
cheese,12001,1.0,true,1
hummus,25621,1.0,true,1
veggie_burger,25593,1.0,true,1
almond_butter,15000,1.0,true,1
nuts,15000,0.34,true,1
nuts,15005,0.33,false,2
nuts,15054,0.33,false,3
almonds,15000,1.0,true,1
walnuts,15005,1.0,true,1
cashews,15054,1.0,true,1
pasta,9810,1.0,true,1
quinoa,9340,1.0,true,1
tortilla,7815,1.0,true,1
sweet_potatoes,4101,1.0,true,1
couscous,9681,1.0,true,1
barley,9321,1.0,true,1
bagel,7258,1.0,true,1
pita,7180,1.0,true,1
corn,9200,1.0,true,1
corn_tortilla,7813,1.0,true,1
corn_flakes,32014,1.0,true,1
apples,13039,1.0,true,1
oranges,13431,1.0,true,1
berries,13014,0.34,true,1
berries,13028,0.33,false,2
berries,13029,0.33,false,3
carrots,20009,1.0,true,1
tomatoes,20047,1.0,true,1
cucumber,20019,1.0,true,1
bell_peppers,20329,0.5,true,1
bell_peppers,20330,0.5,false,2
avocado,13004,1.0,true,1
cauliflower,20016,1.0,true,1
lettuce,20031,1.0,true,1
grapes,13112,1.0,true,1
mushrooms,20056,1.0,true,1
zucchini,20020,1.0,true,1
kale,20218,1.0,true,1
onions,20034,1.0,true,1
peas,20072,1.0,true,1
celery,20023,1.0,true,1
brussels_sprouts,20058,1.0,true,1
green_beans,20061,1.0,true,1
asparagus,20279,1.0,true,1
cabbage,20069,1.0,true,1
beetroot,20091,1.0,true,1
pears,13037,1.0,true,1
kiwi,13021,1.0,true,1
pineapple,13002,1.0,true,1
mango,13025,1.0,true,1
frozen_vegetables,20101,0.5,true,1
frozen_vegetables,20267,0.5,false,2
